"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","10.01.2023 14:00 - 10.01.2023 15:00 (CET/CEST)","208","2173","2089"
"BZN|BE","10.01.2023 15:00 - 10.01.2023 16:00 (CET/CEST)","64","2171","2229"
"BZN|BE","10.01.2023 16:00 - 10.01.2023 17:00 (CET/CEST)","5","2171","2327"
"BZN|BE","10.01.2023 17:00 - 10.01.2023 18:00 (CET/CEST)","0","2119","2343"
"BZN|BE","10.01.2023 18:00 - 10.01.2023 19:00 (CET/CEST)","0","2170","2376"
"BZN|BE","10.01.2023 19:00 - 10.01.2023 20:00 (CET/CEST)","0","2163","2285"
"BZN|BE","10.01.2023 20:00 - 10.01.2023 21:00 (CET/CEST)","0","2149","2251"
"BZN|BE","10.01.2023 21:00 - 10.01.2023 22:00 (CET/CEST)","0","2140","2245"
"BZN|BE","10.01.2023 22:00 - 10.01.2023 23:00 (CET/CEST)","0","2094","2222"
"BZN|BE","10.01.2023 23:00 - 11.01.2023 00:00 (CET/CEST)","0","2109","2227"
"BZN|BE","11.01.2023 00:00 - 11.01.2023 01:00 (CET/CEST)","0","2033","2212"
"BZN|BE","11.01.2023 01:00 - 11.01.2023 02:00 (CET/CEST)","0","2092","2146"
"BZN|BE","11.01.2023 02:00 - 11.01.2023 03:00 (CET/CEST)","0","2132","2118"
"BZN|BE","11.01.2023 03:00 - 11.01.2023 04:00 (CET/CEST)","0","2144","2002"
"BZN|BE","11.01.2023 04:00 - 11.01.2023 05:00 (CET/CEST)","0","2008","1899"
"BZN|BE","11.01.2023 05:00 - 11.01.2023 06:00 (CET/CEST)","0","2080","1706"
"BZN|BE","11.01.2023 06:00 - 11.01.2023 07:00 (CET/CEST)","0","2046","1504"
"BZN|BE","11.01.2023 07:00 - 11.01.2023 08:00 (CET/CEST)","0","2048","1425"
"BZN|BE","11.01.2023 08:00 - 11.01.2023 09:00 (CET/CEST)","0","2040","1330"
"BZN|BE","11.01.2023 09:00 - 11.01.2023 10:00 (CET/CEST)","94","2016","1279"
"BZN|BE","11.01.2023 10:00 - 11.01.2023 11:00 (CET/CEST)","625","2105","1174"
"BZN|BE","11.01.2023 11:00 - 11.01.2023 12:00 (CET/CEST)","1374","2125","1283"
"BZN|BE","11.01.2023 12:00 - 11.01.2023 13:00 (CET/CEST)","1581","2083","1511"
"BZN|BE","11.01.2023 13:00 - 11.01.2023 14:00 (CET/CEST)","1354","2131","1646"
"BZN|BE","11.01.2023 14:00 - 11.01.2023 15:00 (CET/CEST)","950","2153","1678"
"BZN|BE","11.01.2023 15:00 - 11.01.2023 16:00 (CET/CEST)","452","2159","1730"
"BZN|BE","11.01.2023 16:00 - 11.01.2023 17:00 (CET/CEST)","73","2162","1839"
"BZN|BE","11.01.2023 17:00 - 11.01.2023 18:00 (CET/CEST)","0","2140","1953"
"BZN|BE","11.01.2023 18:00 - 11.01.2023 19:00 (CET/CEST)","0","2147","2126"
"BZN|BE","11.01.2023 19:00 - 11.01.2023 20:00 (CET/CEST)","0","2101","2203"
"BZN|BE","11.01.2023 20:00 - 11.01.2023 21:00 (CET/CEST)","0","2124","2289"
"BZN|BE","11.01.2023 21:00 - 11.01.2023 22:00 (CET/CEST)","0","2085","2320"
"BZN|BE","11.01.2023 22:00 - 11.01.2023 23:00 (CET/CEST)","0","2116","2240"
"BZN|BE","11.01.2023 23:00 - 12.01.2023 00:00 (CET/CEST)","0","2108","2204"
"BZN|BE","12.01.2023 00:00 - 12.01.2023 01:00 (CET/CEST)","0","2036","2236"
"BZN|BE","12.01.2023 01:00 - 12.01.2023 02:00 (CET/CEST)","0","2057","2188"
"BZN|BE","12.01.2023 02:00 - 12.01.2023 03:00 (CET/CEST)","0","2114","2185"
"BZN|BE","12.01.2023 03:00 - 12.01.2023 04:00 (CET/CEST)","0","2049","2294"
"BZN|BE","12.01.2023 04:00 - 12.01.2023 05:00 (CET/CEST)","0","1831","2227"
"BZN|BE","12.01.2023 05:00 - 12.01.2023 06:00 (CET/CEST)","0","1503","2296"
"BZN|BE","12.01.2023 06:00 - 12.01.2023 07:00 (CET/CEST)","0","1382","2341"
